comunidad,anio,precio_vivienda,salario_medio,tasa_paro_media,Transporte,Otros bienes y servicios,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",Sanidad,Ocio y cultura,Bebidas alcohólicas y tabaco,Restaurantes y hoteles,Vestido y calzado,Comunicaciones,Enseñanza,Alimentos y bebidas no alcohólicas
"Murcia, Región de",2019,110.97300000000001,21948.216666666664,14.679999999999998,96.71175,98.76108333333333,98.75933333333334,99.15716666666667,100.2885,98.28841666666666,97.28758333333333,98.10825,104.39025,98.22633333333333,96.32933333333334
"Murcia, Región de",2020,114.37825000000001,22718.006666666664,16.17,92.15083333333332,99.52175,99.34166666666665,100.32858333333333,99.37633333333333,99.32166666666666,98.75366666666667,99.08466666666668,103.09833333333334,99.41725000000001,98.67491666666666
"Murcia, Región de",2011,130.49675,20863.85666666667,24.985,92.84325,89.06133333333334,97.17466666666667,88.10641666666668,103.38083333333333,81.42233333333333,89.55483333333332,94.39358333333332,114.50608333333334,83.17725,87.64658333333334
Comunitat Valenciana,2016,102.612,21063.503333333334,20.615000000000002,89.17475,95.03575000000001,98.301,96.42208333333333,99.24158333333334,95.77933333333334,92.18299999999999,95.98066666666666,101.38308333333333,96.55116666666667,92.56675
"Madrid, Comunidad de",2018,133.32475,26917.753333333338,12.219999999999999,94.70941666666666,95.96999999999998,98.21216666666668,99.6805,99.75133333333333,98.49008333333335,97.15133333333334,97.01158333333335,102.97675,96.91666666666667,95.12516666666666
Canarias,2022,137.24025,23086.86666666667,17.64,111.61358333333334,103.99725000000001,106.05658333333332,101.06258333333334,102.84224999999999,103.27575,106.08449999999999,97.72308333333332,98.74191666666667,101.721,111.76483333333333
Andalucía,2023,143.56825,24950.653333333332,18.24,112.96891666666666,108.23491666666666,111.97066666666666,103.54916666666666,106.29183333333333,112.30333333333333,114.75325,103.87391666666667,101.85300000000001,104.61166666666666,125.91483333333333
Aragón,2017,104.788,22865.206666666665,11.645,93.00041666666665,94.54016666666666,98.52141666666667,97.36500000000001,102.17758333333335,97.26333333333334,93.22691666666667,96.38041666666668,101.06491666666666,95.00308333333334,93.3625
País Vasco,2017,107.8905,27996.47666666667,11.305,91.18691666666666,95.6725,96.41633333333334,98.1155,101.82866666666666,97.074,94.12641666666667,96.06183333333333,100.97250000000001,96.14,93.05525
Comunitat Valenciana,2020,116.81375,22753.823333333334,16.19,92.98483333333333,98.94783333333334,98.68374999999999,99.21424999999999,99.50808333333333,99.45483333333334,99.175,99.01916666666666,103.21775000000001,99.06675,98.29341666666666
"Madrid, Comunidad de",2008,149.45850000000002,25095.26,8.6,82.70383333333334,78.2325,94.8605,95.41141666666665,99.80925,60.436,86.6325,95.40433333333334,115.37849999999999,75.71433333333333,85.72308333333332
Cantabria,2013,95.561,19939.686666666665,20.447499999999998,97.06858333333334,90.76933333333334,97.26283333333333,93.99958333333332,105.42233333333333,92.95733333333334,91.16558333333334,94.52658333333333,103.70325000000001,94.1605,91.30283333333334
Cantabria,2009,143.5065,20671.170000000002,12.0,77.48066666666666,82.08858333333333,96.39933333333333,84.39525,103.62558333333334,67.61633333333333,86.759,93.88458333333334,113.68341666666667,82.399,85.90858333333334
"Asturias, Principado de",2017,102.53550000000001,23628.38333333333,13.712499999999999,94.13666666666667,94.81491666666666,98.62058333333333,100.31591666666667,103.18549999999999,97.40425,94.01891666666667,96.47866666666665,101.88591666666666,101.01483333333333,93.47016666666667
Galicia,2021,119.78025,23334.806666666667,11.545,99.99991666666666,99.99991666666666,100.00008333333334,99.99991666666666,100.0,100.0,99.99983333333334,100.0,99.99991666666666,100.00008333333334,100.0
"Navarra, Comunidad Foral de",2017,103.93525,25975.819999999996,10.2375,92.05475,94.75266666666666,96.57675,94.40174999999999,101.67416666666666,97.57666666666667,94.04933333333334,96.15716666666667,102.71333333333332,98.45441666666666,92.08375000000001
"Navarra, Comunidad Foral de",2023,132.56650000000002,31094.899999999998,9.945,113.27308333333333,107.64575,113.52991666666667,103.96758333333334,108.846,111.84925,111.79241666666667,105.84291666666667,101.35716666666667,99.67174999999999,124.67783333333334
Extremadura,2008,137.78475,18092.903333333335,15.35,84.14008333333334,82.51791666666666,97.23008333333333,93.98174999999999,111.62633333333333,60.394083333333334,86.45466666666668,97.97675,118.41275,75.459,87.83941666666668
Galicia,2019,111.99799999999999,22179.49666666667,11.7575,96.91624999999999,97.81908333333332,98.37666666666667,97.59083333333332,101.04816666666666,99.93958333333335,96.84783333333333,98.01916666666666,104.37400000000001,96.95433333333334,95.43391666666668
"Rioja, La",2008,170.416,20529.346666666668,7.8925,82.8155,81.12708333333333,90.33416666666666,90.82341666666667,101.024,62.947,86.88433333333334,95.51366666666667,117.58458333333333,76.802,87.32133333333333
"Rioja, La",2009,161.12449999999998,21040.716666666667,12.6475,77.92399999999999,83.19966666666666,92.19858333333333,90.53916666666667,99.99849999999999,68.57283333333334,88.43608333333333,93.851,116.73025,80.0665,85.59991666666667
Cataluña,2016,107.02024999999999,24379.246666666662,15.7125,88.65775000000001,92.84216666666667,96.9975,96.30508333333334,98.78583333333334,94.95783333333333,92.82108333333333,95.50975,100.36058333333334,100.1615,90.96016666666667
